account_id,product,amount,bucket,is_asset,is_liability,is_off_balance,base_haircut,asf_weight,rsf_weight
A00041,loans,3533492.444570709,>1y,True,False,False,0.65,0.0,0.85
A00042,treasury_hqla,59757691.79027911,31d-90d,True,False,False,0.05,0.0,0.05
A00043,committed_facilities,547060.4498688972,>1y,False,False,True,1.0,0.0,0.0
A00044,corporate_non_operational,11365808.745500017,8d-30d,False,True,False,1.0,0.5,0.0
A00045,corporate_operational,1995303.7841671887,2d-7d,False,True,False,1.0,0.5,0.0
A00046,retail_less_stable,7775173.968337227,2d-7d,False,True,False,1.0,0.9,0.0
A00047,retail_stable,4691268.188277886,overnight,False,True,False,1.0,0.95,0.0
A00048,corporate_operational,6829064.426984038,2d-7d,False,True,False,1.0,0.5,0.0
A00049,retail_stable,1698889.32244794,8d-30d,False,True,False,1.0,0.95,0.0
A00050,retail_stable,4358977.435017274,8d-30d,False,True,False,1.0,0.95,0.0
A00051,loans,7544436.375694167,91d-1y,True,False,False,0.65,0.0,0.85
A00052,loans,6404082.72291949,91d-1y,True,False,False,0.65,0.0,0.85
A00053,treasury_hqla,3496438.062800145,91d-1y,True,False,False,0.05,0.0,0.05
A00054,retail_less_stable,2143117.8346985662,2d-7d,False,True,False,1.0,0.9,0.0
A00055,corporate_bonds,4919372.777903332,>1y,True,False,False,0.2,0.0,0.5
A00056,corporate_non_operational,15995830.345093727,8d-30d,False,True,False,1.0,0.5,0.0
A00057,corporate_non_operational,4245363.289400272,91d-1y,False,True,False,1.0,0.5,0.0
A00058,treasury_hqla,6560573.06975322,2d-7d,True,False,False,0.05,0.0,0.05
A00059,retail_less_stable,7926054.707610524,2d-7d,False,True,False,1.0,0.9,0.0
A00060,loans,4805380.207318071,>1y,True,False,False,0.65,0.0,0.85
A00061,wholesale_unsecured,4725043.638696306,>1y,False,True,False,1.0,0.0,0.0
A00062,retail_stable,1326248.5993164666,2d-7d,False,True,False,1.0,0.95,0.0
A00063,corporate_non_operational,3868347.1484767976,>1y,False,True,False,1.0,0.5,0.0
A00064,treasury_hqla,718923.5384189977,8d-30d,True,False,False,0.05,0.0,0.05
A00065,retail_stable,4332197.153339134,2d-7d,False,True,False,1.0,0.95,0.0
A00066,committed_facilities,12069966.867103549,31d-90d,False,False,True,1.0,0.0,0.0
A00067,equities,751045.0733744039,>1y,True,False,False,0.45,0.0,0.85
A00068,corporate_non_operational,232401.44439490204,8d-30d,False,True,False,1.0,0.5,0.0
A00069,committed_facilities,3530367.698866903,overnight,False,False,True,1.0,0.0,0.0
A00070,committed_facilities,7349311.487347292,91d-1y,False,False,True,1.0,0.0,0.0
A00071,corporate_operational,10434561.754343992,overnight,False,True,False,1.0,0.5,0.0
A00072,retail_stable,2634335.224905631,8d-30d,False,True,False,1.0,0.95,0.0
A00073,committed_facilities,2824149.4040934993,2d-7d,False,False,True,1.0,0.0,0.0
A00074,loans,2123157.4871307677,2d-7d,True,False,False,0.65,0.0,0.85
A00075,loans,1351651.5454158045,91d-1y,True,False,False,0.65,0.0,0.85
A00076,committed_facilities,5804271.129505638,31d-90d,False,False,True,1.0,0.0,0.0
A00077,corporate_non_operational,3415626.7218463356,overnight,False,True,False,1.0,0.5,0.0
A00078,equities,1580661.948242621,91d-1y,True,False,False,0.45,0.0,0.85
A00079,retail_stable,7077801.583931653,overnight,False,True,False,1.0,0.95,0.0
A00080,loans,2632845.8521401254,91d-1y,True,False,False,0.65,0.0,0.85
A00081,corporate_non_operational,24048669.355820265,overnight,False,True,False,1.0,0.5,0.0
A00082,committed_facilities,13542019.234046673,31d-90d,False,False,True,1.0,0.0,0.0
A00083,corporate_non_operational,3084043.7097728807,2d-7d,False,True,False,1.0,0.5,0.0
A00084,corporate_operational,1835894.4334122466,31d-90d,False,True,False,1.0,0.5,0.0
A00085,loans,10253581.122336484,91d-1y,True,False,False,0.65,0.0,0.85
A00086,treasury_hqla,1365103.5197968686,8d-30d,True,False,False,0.05,0.0,0.05
A00087,equities,21062011.1727458,8d-30d,True,False,False,0.45,0.0,0.85
A00088,retail_less_stable,8065757.169178803,overnight,False,True,False,1.0,0.9,0.0
A00089,corporate_operational,275876.4876999217,8d-30d,False,True,False,1.0,0.5,0.0
A00090,treasury_hqla,3947175.6605009055,overnight,True,False,False,0.05,0.0,0.05
A00091,treasury_hqla,6695343.453437653,91d-1y,True,False,False,0.05,0.0,0.05
A00092,corporate_operational,4368434.268273966,2d-7d,False,True,False,1.0,0.5,0.0
A00093,corporate_bonds,2452764.506675997,91d-1y,True,False,False,0.2,0.0,0.5
A00094,corporate_operational,1497878.9173857125,overnight,False,True,False,1.0,0.5,0.0
A00095,treasury_hqla,700809.191582472,>1y,True,False,False,0.05,0.0,0.05
A00096,retail_less_stable,999985.3992624141,>1y,False,True,False,1.0,0.9,0.0
A00097,retail_stable,2961089.712669346,91d-1y,False,True,False,1.0,0.95,0.0
A00098,committed_facilities,17274345.864047747,91d-1y,False,False,True,1.0,0.0,0.0
A00099,retail_stable,12073839.070641793,overnight,False,True,False,1.0,0.95,0.0
A00100,committed_facilities,8256945.6252563335,91d-1y,False,False,True,1.0,0.0,0.0
A00101,treasury_hqla,1036465.6688021461,91d-1y,True,False,False,0.05,0.0,0.05
A00102,treasury_hqla,2057999.4718593953,overnight,True,False,False,0.05,0.0,0.05
A00103,committed_facilities,2020147.638251982,>1y,False,False,True,1.0,0.0,0.0
A00104,loans,21339469.64640574,>1y,True,False,False,0.65,0.0,0.85
A00105,retail_stable,1388925.8452175902,8d-30d,False,True,False,1.0,0.95,0.0
A00106,corporate_operational,5241245.801699161,8d-30d,False,True,False,1.0,0.5,0.0
A00107,corporate_operational,1559190.6570782126,overnight,False,True,False,1.0,0.5,0.0
A00108,retail_stable,1490344.2972374659,overnight,False,True,False,1.0,0.95,0.0
A00109,retail_stable,10700289.630152544,31d-90d,False,True,False,1.0,0.95,0.0
A00110,retail_less_stable,3475503.551364078,91d-1y,False,True,False,1.0,0.9,0.0
A00111,loans,1565898.3920391165,8d-30d,True,False,False,0.65,0.0,0.85
A00112,retail_less_stable,2499643.515370107,overnight,False,True,False,1.0,0.9,0.0
A00113,loans,1298224.2272871495,2d-7d,True,False,False,0.65,0.0,0.85
A00114,treasury_hqla,2550934.4269224284,91d-1y,True,False,False,0.05,0.0,0.05
A00115,corporate_bonds,920605.2078559657,>1y,True,False,False,0.2,0.0,0.5
A00116,retail_stable,763451.60462962,2d-7d,False,True,False,1.0,0.95,0.0
A00117,treasury_hqla,1225753.436979928,91d-1y,True,False,False,0.05,0.0,0.05
A00118,loans,767359.6212277248,>1y,True,False,False,0.65,0.0,0.85
A00119,corporate_non_operational,960240.0046562393,overnight,False,True,False,1.0,0.5,0.0
A00120,treasury_hqla,12549735.115121253,91d-1y,True,False,False,0.05,0.0,0.05
A00121,corporate_non_operational,8562254.878092105,>1y,False,True,False,1.0,0.5,0.0
A00122,retail_less_stable,1109116.5780419484,overnight,False,True,False,1.0,0.9,0.0
A00123,retail_less_stable,5809939.517136576,8d-30d,False,True,False,1.0,0.9,0.0
A00124,corporate_non_operational,6384907.330001445,2d-7d,False,True,False,1.0,0.5,0.0
A00125,retail_stable,6362459.924125636,overnight,False,True,False,1.0,0.95,0.0
A00126,wholesale_unsecured,6291655.5656888485,overnight,False,True,False,1.0,0.0,0.0
A00127,retail_stable,7863301.958458783,2d-7d,False,True,False,1.0,0.95,0.0
A00128,wholesale_unsecured,28362576.41981917,8d-30d,False,True,False,1.0,0.0,0.0
A00129,committed_facilities,1092091.5945780126,8d-30d,False,False,True,1.0,0.0,0.0
A00130,treasury_hqla,15472234.943083784,91d-1y,True,False,False,0.05,0.0,0.05
A00131,retail_less_stable,4982664.713097992,2d-7d,False,True,False,1.0,0.9,0.0
A00132,retail_stable,544128.0797636216,2d-7d,False,True,False,1.0,0.95,0.0
A00133,retail_stable,23032255.044763908,2d-7d,False,True,False,1.0,0.95,0.0
A00134,corporate_non_operational,19943101.30753523,overnight,False,True,False,1.0,0.5,0.0
A00135,equities,2761053.6410915004,91d-1y,True,False,False,0.45,0.0,0.85
A00136,corporate_bonds,3131848.215043257,>1y,True,False,False,0.2,0.0,0.5
A00137,loans,2942822.030294894,8d-30d,True,False,False,0.65,0.0,0.85
A00138,treasury_hqla,784745.0116037319,overnight,True,False,False,0.05,0.0,0.05
A00139,retail_stable,5735930.956090502,8d-30d,False,True,False,1.0,0.95,0.0
A00140,retail_stable,3906372.858172958,91d-1y,False,True,False,1.0,0.95,0.0
A00141,loans,3597153.176844343,8d-30d,True,False,False,0.65,0.0,0.85
A00142,loans,5527302.012759604,31d-90d,True,False,False,0.65,0.0,0.85
A00143,retail_less_stable,632576.5414245548,overnight,False,True,False,1.0,0.9,0.0
A00144,retail_less_stable,2617977.312795176,8d-30d,False,True,False,1.0,0.9,0.0
A00145,loans,4086639.6393836048,91d-1y,True,False,False,0.65,0.0,0.85
A00146,corporate_operational,7729013.622364715,31d-90d,False,True,False,1.0,0.5,0.0
A00147,wholesale_unsecured,19160760.775911376,overnight,False,True,False,1.0,0.0,0.0
A00148,corporate_non_operational,1454196.2317648437,8d-30d,False,True,False,1.0,0.5,0.0
A00149,loans,4021924.0724049956,91d-1y,True,False,False,0.65,0.0,0.85
A00150,retail_stable,4266681.960805916,overnight,False,True,False,1.0,0.95,0.0
A00151,corporate_bonds,1184631.476878544,2d-7d,True,False,False,0.2,0.0,0.5
A00152,corporate_operational,11064267.802956412,31d-90d,False,True,False,1.0,0.5,0.0
A00153,loans,8553523.603097355,91d-1y,True,False,False,0.65,0.0,0.85
A00154,loans,3912998.2729366347,8d-30d,True,False,False,0.65,0.0,0.85
A00155,equities,5010238.364986003,2d-7d,True,False,False,0.45,0.0,0.85
A00156,retail_less_stable,731937.5022600659,overnight,False,True,False,1.0,0.9,0.0
A00157,wholesale_unsecured,1919131.439203755,8d-30d,False,True,False,1.0,0.0,0.0
A00158,corporate_operational,3624060.2027928084,overnight,False,True,False,1.0,0.5,0.0
A00159,wholesale_unsecured,1411984.4202128486,2d-7d,False,True,False,1.0,0.0,0.0
A00160,corporate_bonds,19420009.242503945,overnight,True,False,False,0.2,0.0,0.5
A00161,retail_less_stable,265681.4240183984,8d-30d,False,True,False,1.0,0.9,0.0
A00162,retail_less_stable,2066669.3671341145,overnight,False,True,False,1.0,0.9,0.0
A00163,loans,2349851.402493846,overnight,True,False,False,0.65,0.0,0.85
A00164,treasury_hqla,2201204.508280253,91d-1y,True,False,False,0.05,0.0,0.05
A00165,retail_stable,1855489.1008964821,overnight,False,True,False,1.0,0.95,0.0
A00166,retail_stable,513572.4595512444,2d-7d,False,True,False,1.0,0.95,0.0
A00167,retail_stable,4155459.9151085736,2d-7d,False,True,False,1.0,0.95,0.0
A00168,retail_stable,7927715.484360242,overnight,False,True,False,1.0,0.95,0.0
A00169,treasury_hqla,2615295.6106185317,2d-7d,True,False,False,0.05,0.0,0.05
A00170,retail_stable,4437282.504887592,31d-90d,False,True,False,1.0,0.95,0.0
A00171,corporate_bonds,16319196.809725218,>1y,True,False,False,0.2,0.0,0.5
A00172,retail_stable,5007310.142076862,overnight,False,True,False,1.0,0.95,0.0
A00173,wholesale_unsecured,22713680.296605974,31d-90d,False,True,False,1.0,0.0,0.0
A00174,retail_stable,3077764.989798323,8d-30d,False,True,False,1.0,0.95,0.0
A00175,retail_stable,908281.3229124383,overnight,False,True,False,1.0,0.95,0.0
A00176,loans,4029520.927012136,>1y,True,False,False,0.65,0.0,0.85
A00177,equities,4203532.158974209,91d-1y,True,False,False,0.45,0.0,0.85
A00178,retail_stable,2992784.538299262,91d-1y,False,True,False,1.0,0.95,0.0
A00179,corporate_non_operational,944114.8309413558,overnight,False,True,False,1.0,0.5,0.0
A00180,corporate_non_operational,9041505.42838449,overnight,False,True,False,1.0,0.5,0.0
A00181,retail_less_stable,8673597.015592959,overnight,False,True,False,1.0,0.9,0.0
A00182,loans,4205745.600793807,31d-90d,True,False,False,0.65,0.0,0.85
A00183,corporate_non_operational,2017385.4248352882,8d-30d,False,True,False,1.0,0.5,0.0
A00184,equities,1940167.0487157893,overnight,True,False,False,0.45,0.0,0.85
A00185,corporate_bonds,781169.468360485,>1y,True,False,False,0.2,0.0,0.5
A00186,wholesale_unsecured,1490439.1456371495,overnight,False,True,False,1.0,0.0,0.0
A00187,committed_facilities,5047818.834211706,91d-1y,False,False,True,1.0,0.0,0.0
A00188,retail_less_stable,2029852.873134303,8d-30d,False,True,False,1.0,0.9,0.0
A00189,committed_facilities,3506594.7600443796,91d-1y,False,False,True,1.0,0.0,0.0
A00190,retail_less_stable,4181745.0049870205,8d-30d,False,True,False,1.0,0.9,0.0
A00191,retail_stable,1555513.2057830484,2d-7d,False,True,False,1.0,0.95,0.0
A00192,treasury_hqla,4307077.081522081,91d-1y,True,False,False,0.05,0.0,0.05
A00193,retail_less_stable,2812307.0378873693,overnight,False,True,False,1.0,0.9,0.0
A00194,retail_less_stable,3339392.2635781504,overnight,False,True,False,1.0,0.9,0.0
A00195,retail_stable,3287718.086001002,91d-1y,False,True,False,1.0,0.95,0.0
A00196,corporate_bonds,1155785.0809516686,2d-7d,True,False,False,0.2,0.0,0.5
A00197,loans,2615325.142522724,31d-90d,True,False,False,0.65,0.0,0.85
A00198,corporate_operational,6113155.271430631,overnight,False,True,False,1.0,0.5,0.0
A00199,retail_less_stable,3988463.5525036235,2d-7d,False,True,False,1.0,0.9,0.0
A00200,treasury_hqla,561045.6035700123,>1y,True,False,False,0.05,0.0,0.05
A00201,treasury_hqla,27825480.910132457,overnight,True,False,False,0.05,0.0,0.05
A00202,corporate_operational,601863.9389682777,91d-1y,False,True,False,1.0,0.5,0.0
A00203,loans,4739439.889604761,>1y,True,False,False,0.65,0.0,0.85
A00204,retail_stable,4751264.803266787,91d-1y,False,True,False,1.0,0.95,0.0
A00205,treasury_hqla,34779979.02709874,overnight,True,False,False,0.05,0.0,0.05
A00206,loans,1114111.420190215,8d-30d,True,False,False,0.65,0.0,0.85
A00207,treasury_hqla,3625546.682690662,91d-1y,True,False,False,0.05,0.0,0.05
A00208,corporate_operational,3434731.6787634213,31d-90d,False,True,False,1.0,0.5,0.0
A00209,corporate_non_operational,7447408.85872996,8d-30d,False,True,False,1.0,0.5,0.0
A00210,retail_stable,9406046.955372492,overnight,False,True,False,1.0,0.95,0.0
A00211,loans,2486432.5142154833,8d-30d,True,False,False,0.65,0.0,0.85
A00212,wholesale_unsecured,2017152.4232495427,8d-30d,False,True,False,1.0,0.0,0.0
A00213,loans,3889544.3819552185,91d-1y,True,False,False,0.65,0.0,0.85
A00214,loans,7041509.394279412,>1y,True,False,False,0.65,0.0,0.85
A00215,retail_stable,4451282.894916692,91d-1y,False,True,False,1.0,0.95,0.0
A00216,corporate_non_operational,10680307.50826955,2d-7d,False,True,False,1.0,0.5,0.0
A00217,retail_less_stable,14386728.138336249,8d-30d,False,True,False,1.0,0.9,0.0
A00218,corporate_non_operational,2690882.224141866,31d-90d,False,True,False,1.0,0.5,0.0
A00219,loans,15866264.887126613,2d-7d,True,False,False,0.65,0.0,0.85
A00220,loans,7171564.115254605,91d-1y,True,False,False,0.65,0.0,0.85
A00221,corporate_non_operational,1344540.0700369265,overnight,False,True,False,1.0,0.5,0.0
A00222,corporate_bonds,15803023.818564396,>1y,True,False,False,0.2,0.0,0.5
A00223,committed_facilities,4453063.097221619,31d-90d,False,False,True,1.0,0.0,0.0
A00224,retail_less_stable,3015724.932603957,8d-30d,False,True,False,1.0,0.9,0.0
A00225,corporate_operational,1397164.6169867376,overnight,False,True,False,1.0,0.5,0.0
A00226,committed_facilities,3239062.7825767696,>1y,False,False,True,1.0,0.0,0.0
A00227,corporate_non_operational,8338474.10534526,31d-90d,False,True,False,1.0,0.5,0.0
A00228,corporate_bonds,1677054.6323571026,91d-1y,True,False,False,0.2,0.0,0.5
A00229,loans,963795.9973862704,91d-1y,True,False,False,0.65,0.0,0.85
A00230,retail_stable,5934221.063817494,8d-30d,False,True,False,1.0,0.95,0.0
A00231,retail_stable,2927712.935449289,91d-1y,False,True,False,1.0,0.95,0.0
A00232,retail_stable,2481356.434563132,overnight,False,True,False,1.0,0.95,0.0
A00233,committed_facilities,378256.713066414,2d-7d,False,False,True,1.0,0.0,0.0
A00234,equities,1381996.4930438553,31d-90d,True,False,False,0.45,0.0,0.85
A00235,corporate_operational,28052626.408226155,8d-30d,False,True,False,1.0,0.5,0.0
A00236,loans,16613328.227723548,2d-7d,True,False,False,0.65,0.0,0.85
A00237,corporate_operational,5131248.522239013,overnight,False,True,False,1.0,0.5,0.0
A00238,retail_stable,2538812.4674225207,8d-30d,False,True,False,1.0,0.95,0.0
A00239,corporate_operational,8385231.927881757,8d-30d,False,True,False,1.0,0.5,0.0
A00240,corporate_bonds,4803751.518507108,>1y,True,False,False,0.2,0.0,0.5
A00241,wholesale_unsecured,9505300.770412812,2d-7d,False,True,False,1.0,0.0,0.0
A00242,loans,3744296.960518156,>1y,True,False,False,0.65,0.0,0.85
A00243,committed_facilities,12684032.646196345,91d-1y,False,False,True,1.0,0.0,0.0
A00244,retail_stable,784549.7363106124,>1y,False,True,False,1.0,0.95,0.0
A00245,retail_stable,1612797.1697718096,>1y,False,True,False,1.0,0.95,0.0
A00246,retail_stable,1136777.7162846911,overnight,False,True,False,1.0,0.95,0.0
A00247,retail_less_stable,1582781.5597604762,8d-30d,False,True,False,1.0,0.9,0.0
A00248,retail_less_stable,2219676.613347036,8d-30d,False,True,False,1.0,0.9,0.0
A00249,committed_facilities,751334.4297258996,8d-30d,False,False,True,1.0,0.0,0.0
A00250,loans,1481396.77489265,>1y,True,False,False,0.65,0.0,0.85
A00251,corporate_bonds,3709547.822605374,91d-1y,True,False,False,0.2,0.0,0.5
A00252,retail_stable,465894.5467156489,8d-30d,False,True,False,1.0,0.95,0.0
A00253,committed_facilities,1186163.9050818086,91d-1y,False,False,True,1.0,0.0,0.0
A00254,equities,1271357.0818933665,overnight,True,False,False,0.45,0.0,0.85
A00255,loans,5158542.634303186,91d-1y,True,False,False,0.65,0.0,0.85
A00256,retail_stable,823990.065091717,8d-30d,False,True,False,1.0,0.95,0.0
A00257,committed_facilities,1117052.6143172856,31d-90d,False,False,True,1.0,0.0,0.0
A00258,committed_facilities,14956488.615774298,8d-30d,False,False,True,1.0,0.0,0.0
A00259,corporate_non_operational,2573453.9951827647,31d-90d,False,True,False,1.0,0.5,0.0
A00260,corporate_bonds,1170410.1149448464,>1y,True,False,False,0.2,0.0,0.5
A00261,retail_less_stable,3837940.563648913,31d-90d,False,True,False,1.0,0.9,0.0
A00262,retail_less_stable,7260424.458392998,91d-1y,False,True,False,1.0,0.9,0.0
A00263,corporate_bonds,13798847.824564405,>1y,True,False,False,0.2,0.0,0.5
A00264,retail_stable,4170682.045166691,overnight,False,True,False,1.0,0.95,0.0
A00265,loans,1380508.768115912,>1y,True,False,False,0.65,0.0,0.85
A00266,retail_stable,812848.8782100048,91d-1y,False,True,False,1.0,0.95,0.0
A00267,corporate_non_operational,2151459.3098349064,91d-1y,False,True,False,1.0,0.5,0.0
A00268,treasury_hqla,6138120.65108105,91d-1y,True,False,False,0.05,0.0,0.05
A00269,retail_less_stable,10900484.571831843,overnight,False,True,False,1.0,0.9,0.0
A00270,corporate_operational,1600611.6841891785,8d-30d,False,True,False,1.0,0.5,0.0
A00271,loans,617270.9721086205,91d-1y,True,False,False,0.65,0.0,0.85
A00272,treasury_hqla,7296157.1676786095,91d-1y,True,False,False,0.05,0.0,0.05
A00273,treasury_hqla,3706522.77034031,31d-90d,True,False,False,0.05,0.0,0.05
A00274,loans,3238606.8014442166,>1y,True,False,False,0.65,0.0,0.85
A00275,retail_less_stable,3960418.6282934533,2d-7d,False,True,False,1.0,0.9,0.0
A00276,corporate_operational,890355.9116943493,2d-7d,False,True,False,1.0,0.5,0.0
A00277,corporate_non_operational,2267927.179130913,31d-90d,False,True,False,1.0,0.5,0.0
A00278,corporate_operational,1981466.6331766054,overnight,False,True,False,1.0,0.5,0.0
A00279,retail_stable,2988320.7468403685,overnight,False,True,False,1.0,0.95,0.0
A00280,retail_stable,1417213.653259145,2d-7d,False,True,False,1.0,0.95,0.0
A00281,retail_less_stable,2808230.016991501,91d-1y,False,True,False,1.0,0.9,0.0
A00282,retail_stable,3889383.498552535,91d-1y,False,True,False,1.0,0.95,0.0
A00283,retail_stable,26670435.465524398,8d-30d,False,True,False,1.0,0.95,0.0
A00284,corporate_operational,3053303.906821142,8d-30d,False,True,False,1.0,0.5,0.0
A00285,retail_stable,3351833.5337849976,overnight,False,True,False,1.0,0.95,0.0
A00286,committed_facilities,14340577.417213732,8d-30d,False,False,True,1.0,0.0,0.0
A00287,committed_facilities,806629.0099444118,8d-30d,False,False,True,1.0,0.0,0.0
A00288,equities,4201362.182058589,91d-1y,True,False,False,0.45,0.0,0.85
A00289,loans,665294.9190376173,91d-1y,True,False,False,0.65,0.0,0.85
A00290,retail_stable,2643642.154921812,overnight,False,True,False,1.0,0.95,0.0
A00291,committed_facilities,3819893.7269528843,31d-90d,False,False,True,1.0,0.0,0.0
A00292,corporate_operational,1133265.0869813643,overnight,False,True,False,1.0,0.5,0.0
A00293,corporate_operational,8111341.790226746,overnight,False,True,False,1.0,0.5,0.0
A00294,committed_facilities,6355938.150305338,2d-7d,False,False,True,1.0,0.0,0.0
A00295,retail_less_stable,11204972.357259931,8d-30d,False,True,False,1.0,0.9,0.0
A00296,treasury_hqla,2842542.709173224,8d-30d,True,False,False,0.05,0.0,0.05
A00297,loans,8404994.325408168,2d-7d,True,False,False,0.65,0.0,0.85
A00298,equities,3689387.7968730335,31d-90d,True,False,False,0.45,0.0,0.85
A00299,retail_stable,9239309.890444983,8d-30d,False,True,False,1.0,0.95,0.0
A00300,corporate_bonds,2522684.5990385525,>1y,True,False,False,0.2,0.0,0.5
A00301,retail_less_stable,2936517.716565607,overnight,False,True,False,1.0,0.9,0.0
A00302,corporate_non_operational,11292463.168706482,8d-30d,False,True,False,1.0,0.5,0.0
A00303,committed_facilities,6329023.129801066,91d-1y,False,False,True,1.0,0.0,0.0
A00304,loans,812160.8087572817,91d-1y,True,False,False,0.65,0.0,0.85
A00305,corporate_operational,2817772.6823865273,31d-90d,False,True,False,1.0,0.5,0.0
A00306,loans,2333739.239423057,>1y,True,False,False,0.65,0.0,0.85
A00307,retail_stable,2278903.3625127804,31d-90d,False,True,False,1.0,0.95,0.0
A00308,treasury_hqla,2604207.1262978846,>1y,True,False,False,0.05,0.0,0.05
A00309,treasury_hqla,3332783.461172776,31d-90d,True,False,False,0.05,0.0,0.05
A00310,retail_stable,5736580.357163112,overnight,False,True,False,1.0,0.95,0.0
A00311,equities,2365522.962405322,31d-90d,True,False,False,0.45,0.0,0.85
A00312,loans,1493548.0946112308,>1y,True,False,False,0.65,0.0,0.85
A00313,committed_facilities,1177038.422897039,31d-90d,False,False,True,1.0,0.0,0.0
A00314,retail_less_stable,4895242.725855102,overnight,False,True,False,1.0,0.9,0.0
A00315,corporate_bonds,33101949.095716592,8d-30d,True,False,False,0.2,0.0,0.5
A00316,wholesale_unsecured,2799339.1194381523,overnight,False,True,False,1.0,0.0,0.0
A00317,retail_stable,2718658.4942795997,overnight,False,True,False,1.0,0.95,0.0
A00318,corporate_bonds,1971266.6874920053,2d-7d,True,False,False,0.2,0.0,0.5
A00319,retail_stable,3621382.9371922584,8d-30d,False,True,False,1.0,0.95,0.0
A00320,committed_facilities,1075857.0074555927,2d-7d,False,False,True,1.0,0.0,0.0
A00321,loans,1709814.324303096,8d-30d,True,False,False,0.65,0.0,0.85
A00322,treasury_hqla,2168644.2326521412,>1y,True,False,False,0.05,0.0,0.05
A00323,loans,1132921.550730129,>1y,True,False,False,0.65,0.0,0.85
A00324,committed_facilities,4794192.012994361,91d-1y,False,False,True,1.0,0.0,0.0
A00325,corporate_operational,2846710.8181564254,2d-7d,False,True,False,1.0,0.5,0.0
A00326,loans,7252420.39722747,>1y,True,False,False,0.65,0.0,0.85
A00327,retail_stable,6331412.349856537,overnight,False,True,False,1.0,0.95,0.0
A00328,retail_stable,1757434.9395332704,overnight,False,True,False,1.0,0.95,0.0
A00329,loans,8276199.556950092,2d-7d,True,False,False,0.65,0.0,0.85
